"KELLER","AFRCST 201A","Africa & The Disciplines","Bates","https://coverimages.verbacompete.com/369951c1-1b04-5087-83b9-0fa7bcc4afb6.jpg","9780226039015","139015"
"KELLER","AFRCST 201A","Identity Citizenship & Political Conflict In Africa","Keller","https://coverimages.verbacompete.com/3af4f3dc-e184-5e6a-8f7d-0b8e6cc97b5c.jpg","9780253011787","139015"
"MACIAS","APPLNG M179","Crs Language Policy & Politics In The Us","Macias","https://coverimages.verbacompete.com/no_image.jpg","9789891809732","139115"
"DEGUZMAN","ASIAAM 10","Asian / Pacific Islander American Women","Hune","https://coverimages.verbacompete.com/b2e4203f-612d-5d56-a4fc-c2585539a99d.jpg","9780814736333","139262"
"DEGUZMAN","ASIAAM 10","New History Of Asian America","Lee","https://coverimages.verbacompete.com/505bc127-dbbb-570e-9035-5a6b28f4fa8e.jpg","9780415879545","139262"
"THE STAFF","ASIAAM 112C","Crs Asian American Creative Writing","Banerjee","https://coverimages.verbacompete.com/no_image.jpg","9788891799258","139263"
"WELTY","ASIAAM 20","Contemporary Asian America","Zhou","https://coverimages.verbacompete.com/66355ea1-7f80-5e2d-a601-4086ff479899.jpg","9781479826223","139271"
"WELTY","ASIAAM 20","New Chinese Amer ","Zhao","https://coverimages.verbacompete.com/632cd380-fbc7-5fd0-a5c2-4d7952548006.jpg","9780813546926","139271"
"WELTY","ASIAAM 20","Spirit Catches You & You Fall Down ","Fadiman","https://coverimages.verbacompete.com/4af32d5d-ba86-5ef4-9dc4-d1e8bc118d3c.jpg","9780374533403","139271"
"CAMACHO","ASIAAM 200A","Battle Over Peleliu","Murray","https://coverimages.verbacompete.com/d3ca76f3-8b90-59f5-b471-4af769ef1ef9.jpg","9780817318840","139272"
"CAMACHO","ASIAAM 200A","Black Pacific","Shilliam","https://coverimages.verbacompete.com/90977235-c602-5a2f-8ca5-bfdf06ee3fab.jpg","9781472535542","139272"
"CAMACHO","ASIAAM 200A","Chinese Looks ","Metzger","https://coverimages.verbacompete.com/37dedb87-af59-56e9-85d2-f4d72e01c3ef.jpg","9780253012562","139272"
"CAMACHO","ASIAAM 200A","Islanders In The Empire","Poblete","https://coverimages.verbacompete.com/94728e2a-6c7e-5b6a-9282-eabb7b26f822.jpg","9780252038297","139272"
"CAMACHO","ASIAAM 200A","Radicals On The Road","Wu","https://coverimages.verbacompete.com/7694a831-826f-5e70-a850-63467e72d5c8.jpg","9780801478901","139272"
"CAMACHO","ASIAAM 200A","Serve The People ","Ishizuka","https://coverimages.verbacompete.com/0e028ec7-7051-5ede-aaa7-1bec3eae8491.jpg","9781781688625","139272"
"CAMACHO","ASIAAM 200A","Uncivil Rites ","Salaita","https://coverimages.verbacompete.com/373bfc89-77cc-53ac-ad9e-7d5560ad2f99.jpg","9781608465774","139272"
"CAMACHO","ASIAAM 200A","Unsettled","Tang","https://coverimages.verbacompete.com/b7b9f50b-4f36-595b-93e7-5d6ff01a8f71.jpg","9781439911655","139272"
"STAFF","ASIAAM 40","Next American Revolution","Boggs","https://coverimages.verbacompete.com/561b827d-b62f-5847-9b96-bb505b08522e.jpg","9780520272590","139276"
"STAFF","ASIAAM 40","Samurai Among Panthers","Fujino","https://coverimages.verbacompete.com/b5bc81c7-f95f-5c29-85bb-4677f6a60131.jpg","9780816677870","139276"
